,M_CE1939,M_CE1940,M_CE1941,M_CE1944,M_urea,M_ametam,M_pyr,M_CE1556,M_ac,M_spmd,M_N1aspmd,M_sprm,M_CE1059,M_nadh,M_crtn,M_ptrc,M_1pyr5c,M_glu_L,M_HC00591,M_gly,M_glu5sa,M_5oxpro,M_ahcys,M_amet,M_n8aspmd,M_pcreat,M_coa,M_creat,M_5mta,M_13dampp,M_4abutn,M_CE4788,M_gln_L,M_gthrd,M_C03413,M_orn,M_asn_L,M_gudac,M_N1sprm,M_ala_L,M_adp,M_lys_L,M_acorn,M_2obut,M_nad,M_arg_L,M_akg,M_accoa,M_CE2072,M_CE5588,M_CE5586,M_atp
M_CE1939,0.0,0.04176691820108157,0.030647702686575684,0.030505967132205967,0.0025114401247485776,0.02397807478431687,0.005807331027819608,0.006026126869082975,0.006029497210056287,0.05815162187923309,0.02233815355010977,0.03375460282767456,0.015140956686570305,0.0009721287630023909,0.0010623259330730655,0.027762914176384112,0.0013230836491189538,0.0007173441316218986,0.00030666184863613826,0.0013767135171438316,0.002407178509227462,0.0006681340945142319,0.0053495869779193695,0.0058100180706046976,0.03598010473326503,0.0014785264050012294,0.010900602969746556,0.002307806266036727,0.021838180820763577,0.046033067076703627,0.035048218921981504,0.018938963709682514,0.00042501544331034324,0.0008917103837426893,0.01671208418075886,0.006889691603839376,0.005083955573590901,0.0017316553402101434,0.02569615874831431,0.002777573134008888,0.0019192773979819571,0.030647702686575684,0.005501407902943317,0.00029932423801061286,0.0013551327618671687,0.0029133683485602956,0.0003508167119175151,0.011397824728049184,0.4519660509096917,0.04176691820108156,0.03827844913501838,0.0022407342002018628
M_CE1940,0.04176691820108155,0.0,0.45196605090969166,0.030505967132205967,0.0025114401247485776,0.023978074784316863,0.005807331027819606,0.006026126869082973,0.006029497210056283,0.058151621879233076,0.022338153550109763,0.033754602827674555,0.0151409566865703,0.0009721287630023907,0.001062325933073065,0.02776291417638411,0.0013230836491189535,0.0007173441316218986,0.0003066618486361382,0.0013767135171438311,0.0024071785092274617,0.0006681340945142315,0.005349586977919369,0.005810018070604696,0.03598010473326502,0.001478526405001229,0.010900602969746551,0.0023078062660367264,0.02183818082076357,0.04603306707670362,0.0350482189219815,0.018938963709682503,0.0004250154433103431,0.0008917103837426892,0.016712084180758854,0.006889691603839373,0.005083955573590897,0.001731655340210143,0.025696158748314303,0.002777573134008887,0.001919277397981957,0.03064770268657567,0.005501407902943316,0.00029932423801061275,0.0013551327618671685,0.002913368348560295,0.000350816711917515,0.01139782472804918,0.03064770268657567,0.04176691820108154,0.038278449135018364,0.0022407342002018623
M_CE1941,0.03811884695821672,0.32157331770798825,0.0,0.027841467393152103,0.0022920820776859696,0.021883744433007054,0.005300098067089165,0.005499783443176279,0.005502859426098419,0.057897220794083826,0.020387059695102724,0.03080635571409792,0.013818491586947888,0.0008872196327613521,0.0009695386728192503,0.025338002478889572,0.001207521006232102,0.000654688925401036,0.0002798771389053918,0.0012564665512230155,0.002196927127063719,0.000609777103906262,0.004882335059502392,0.005302550448077046,0.03283747436064488,0.001349386707588679,0.009948505446801413,0.002106234313037311,0.019930756401378657,0.042012375222242826,0.03198698277659694,0.01728476715900505,0.00038789329993718413,0.0008138253755621226,0.015252391213456432,0.0062879214786091256,0.004639904729570632,0.0015804064673846788,0.02345176477550674,0.002534970057089056,0.0017516409205238107,0.027970823263581135,0.005020895366205181,0.0002731804406898893,0.0012367706877493712,0.002658904459615661,0.0003201753527656607,0.010402298109041327,0.027970823263581135,0.03811884695821671,0.03493507318712547,0.002045020550994289
M_CE1944,0.02936744397338268,0.02936744397338268,0.021549224393806722,0.0,0.004573455760438969,0.016961537176155235,0.0050128992152247585,0.0054946853466447025,0.006220713622567468,0.044605058094696164,0.02251285121907846,0.024071002770217887,0.01437672927766237,0.0007022307176644464,0.000900449320489057,0.057659171068761915,0.002536802415214338,0.0013091499583356952,0.0005596567183113172,0.0015553887056442414,0.004690955080755188,0.0012193418707609073,0.0038643488576476964,0.004196947722163195,0.026028678228252874,0.0012532294123549063,0.009244192765060182,0.0019561441385690425,0.01544782555479342,0.10919621282184427,0.13171825820502525,0.016468542478490188,0.0007756514440340013,0.001226311231096979,0.01448261910258685,0.013567374958748244,0.004635603739405677,0.0022535702875145142,0.019285273501513017,0.0025606863840651342,0.0013864168078978197,0.021549224393806722,0.00852393336542316,0.0005462656335084027,0.0009788990420452927,0.005305386885625908,0.0006402391016310174,0.009665858761304855,0.021549224393806722,0.029367443973382677,0.13957222431431524,0.0016186255946254611
M_urea,0.002674802001228943,0.002674802001228943,0.001962714523695509,0.005129095184991804,0.0,0.004540917402591983,0.011333022377126481,0.007002760278898696,0.01503833316112317,0.004062651823483554,0.006609371273394302,0.0035804241095600694,0.005351478919659923,0.0016208034220041132,0.01489277164382589,0.024564342430113455,0.018338470358004275,0.01115675956866507,0.004769475477268521,0.03895328052834981,0.03197937977678459,0.010391403000002537,0.008919217579474418,0.009686881383918003,0.0042671041364474955,0.02072749197380471,0.004945129160030585,0.03235318560075536,0.004135668866468177,0.0033246500768232055,0.009108307668266414,0.004224390980764263,0.0066102119361484205,0.021219034974537376,0.004258464320816528,0.08894198094122466,0.005907894521112095,0.10176342513640176,0.0036001143568727936,0.0215355556133178,0.003199957798704619,0.001962714523695509,0.045361640315586114,0.004655355119988157,0.0022593751602171916,0.22676047743077665,0.005456209310622066,0.00517069705945123,0.001962714523695509,0.0026748020012289427,0.0033457891312084383,0.0037359139238861408
M_ametam,0.02501855701771598,0.02501855701771598,0.018358100833575967,0.01841236545015576,0.00499510366790973,0.0,0.006160027508124838,0.005563642887784079,0.005482285893484777,0.03483306245289351,0.016655986924333798,0.08598276858105665,0.012311934063341749,0.013207132907347582,0.01272594721035237,0.017628716085668135,0.0012664492998991335,0.0008876996706914705,0.0003794884771951351,0.004608656784137137,0.0020747598336874895,0.0008268032646473328,0.07267832902076164,0.05920023244794949,0.023223347269118375,0.017711744703797785,0.010145233270980351,0.02764595751750639,0.19093667784863588,0.02759050411777263,0.0212948342369983,0.02105059214824323,0.0005259486926405904,0.002320755548091134,0.018159288890327564,0.005509733790394992,0.004693779883912346,0.010666109308831422,0.03716718373306041,0.004345228039463261,0.026074885162873027,0.018358100833575967,0.004669362276838934,0.0003704083658866343,0.01841053864109482,0.005794514840822097,0.00043412922094032295,0.010607999512204369,0.018358100833575967,0.025018557017715975,0.022968146456639686,0.030442130599588266
M_pyr,0.0044746274934932126,0.0044746274934932126,0.003283389296468634,0.004100104115272798,0.014424180621965368,0.004647596117416995,0.0,0.029596002384119944,0.027184243473430205,0.006796336093290632,0.021529354774816656,0.008666474057775243,0.03758269397795835,0.0007016048754192183,0.005453635219547784,0.008943856461368948,0.008455822534715843,0.01100806246358998,0.004705908035584665,0.11393563343306923,0.008056031804379162,0.010252906437411547,0.0038609032081602765,0.004193205088039017,0.029137200771979486,0.007590271129967996,0.05587064315904478,0.01184752400057773,0.004232826952666667,0.0050303451081579464,0.005552988860007689,0.019943889313804246,0.006522111041064982,0.052573597739049974,0.026972386540528914,0.009366903578355826,0.02496873418470817,0.03656764869459768,0.020307787792340385,0.18819761792059606,0.0013851803604494162,0.003283389296468634,0.01523708193350607,0.00459330867950597,0.000978025987024793,0.016732611870100726,0.005383488947021597,0.05192812025369919,0.003283389296468634,0.004474627493493212,0.004335207354102198,0.0016171825455677396
M_CE1556,0.0061856474995151366,0.0061856474995151366,0.004538900521376383,0.005995141806038413,0.007794481143509226,0.005083270063435485,0.03970242307953691,0.0,0.13274075497839335,0.009395137189083415,0.029689565795826846,0.0114482462120813,0.051232850131024535,0.00026225388883221437,0.0007995585030745108,0.014711953415232046,0.00444634197798701,0.0025197983801811138,0.0010772048292410953,0.006412238235961962,0.007965075561560727,0.002346939551104162,0.0014431739768205178,0.001567385997097256,0.03964974729278776,0.0011128114060691874,0.07587363578956881,0.0017369680431529402,0.004629619915406646,0.0069926743057372185,0.00838366364166516,0.02726485524220278,0.0014929425106307772,0.003792802037607884,0.03676653675108113,0.02256466754693927,0.2845266232826104,0.00433259730981445,0.02760347301258073,0.017656199861572738,0.0005177691859842484,0.004538900521376383,0.09130217676092227,0.0010514302775950957,0.0003655781878219972,0.009041901840515124,0.001232306425705262,0.07051959777073834,0.004538900521376383,0.006185647499515136,0.006085082137687358,0.0006044894077672598
M_ac,0.0058958989597892525,0.0058958989597892525,0.004326289006163096,0.006875264017567819,0.01883276911848247,0.004753538789868203,0.03248735906406329,0.12251850190564371,0.0,0.008955049574911958,0.025965843918124534,0.010033322244331903,0.04216736049006283,0.0003011238923362059,0.0013191309094622563,0.02235351163743408,0.010763198324278526,0.005598988809660952,0.002393547996239532,0.007327578801034761,0.01985211403811284,0.005214896749052384,0.0016570736388129444,0.0017996956967656576,0.03262944459514169,0.0018359429530410802,0.06114851990768028,0.002865691534486924,0.004329315119457207,0.006802822139058328,0.010500352636048524,0.023000150879317102,0.003317316500941337,0.0055277464057247915,0.03041230087552271,0.05732379046511501,0.15504451592272098,0.007996941423629698,0.022924153120783195,0.015372093329088472,0.0005945103099355919,0.004326289006163096,0.12399554471249645,0.002336277007909709,0.00041976238178714824,0.021846746083027183,0.0027381834836062166,0.056833562610690655,0.004326289006163096,0.005895898959789252,0.006127034214897526,0.0006940837230775342
M_spmd,0.06843807937042962,0.06843807937042962,0.1004368997369616,0.07643561667448498,0.004488493139955166,0.030543105404278903,0.010006337030572915,0.010404185822449208,0.010459303272368844,0.0,0.02912345100750995,0.040253049574449286,0.02455904271850944,0.001652252983725823,0.0018164968819454424,0.03760746679615459,0.002374820429386201,0.0012828399483488886,0.000548409567000345,0.002393649244522623,0.0043260733487704844,0.0011948367930993188,0.009092282617188039,0.009874841638532134,0.035517923275663756,0.002528167686364059,0.01877263343680233,0.00394617347981709,0.03708976419793543,0.07129054598861453,0.05038641580021783,0.030240808014147438,0.000760063334321184,0.0015660203017918285,0.026973703621730686,0.012391926827398635,0.008777514845987227,0.0030256193407080184,0.03318794858176323,0.00479545788927271,0.003262048346600306,0.10043689973696156,0.009737442261203124,0.0005352876429369344,0.0023032150129196835,0.005206826989392953,0.0006273724163638838,0.01962893123138548,0.1004368997369616,0.0684380793704296,0.07178013723617334,0.003808404228556935
