"SPECIE"	"SPECIE_NAME"	"TOTAL_PMID_SPECIE"
"M_m02731c"	"phosphatidate-LD-PS pool"	0
"M_m02864c"	"S-(PGJ2)-glutathione"	0
"M_m01799c"	"etiocholan-3alpha-ol-17-one 3-glucuronide"	46
"M_m03096c"	"type III A glycolipid"	0
"M_3deccrn_c"	"3-Hydroxydecanoylcarnitine"	0
"M_gluthr_c"	"Glutamyl-Threonine"	0
"M_m00334c"	"12-oxoETE"	0
"M_prohistyr_c"	"Prolyl-Histidyl-Tyrosine"	0
"M_m02730c"	"phosphatidate-LD-PI pool"	0
"M_m03095g"	"type II H glycolipid"	0
"M_m02863c"	"S-(PGA2)-glutathione"	0
"M_m00202c"	"[protein]-L-isoaspartate"	0
"M_cyscys_c"	"Cystyl-Cysteine"	0
"M_m02862c"	"S-(PGA1)-glutathione"	0
"M_m00598c"	"20-OH-hepoxilin A3"	0
"M_m01664p"	"delta2-THA-CoA"	0
"M_m02861c"	"S-(formylmethyl)glutathione"	0
"M_m03093c"	"type II A antigen"	0
"M_m01663p"	"delta1-piperideine-2-carboxylate"	8
"M_m00599c"	"20-OH-LTB4"	37
"M_m00200c"	"[protein]-L-cysteine"	0
"M_m02860c"	"S-(9-deoxy-delta9,12-PGD2)-glutathione"	0
"M_m03092g"	"type I H glycolipid"	0
"M_m00596p"	"20-hydroxy-LTE4"	0
"M_m03091c"	"type I B glycolipid"	0
"M_c14dccoa_p"	"Tetradecanedioyl Coenzyme A"	0
"M_m01661c"	"dehydrospermidine"	0
"M_valtrpphe_c"	"Valyl-Tryptophanyl-Phenylalanine"	0
"M_glylyscys_c"	"Glycyl-Lysyl-Cysteine"	0
"M_m02992c"	"threonate"	47
"M_m03090c"	"type I A glycolipid"	0
"M_m02119c"	"hexaglutamyl-folate(THF)"	0
"M_31dmt_c"	"31-DMT or M-II, 31-O-desmethyl tacrolimus"	0
"M_m01660c"	"dehydroepiandrosterone"	0
"M_m01793c"	"estrone-3,4-quinone"	15
"M_metasntyr_c"	"Methionyl-Asparaginyl-Tyrosine"	0
"M_m02118c"	"hexaglutamyl-folate(DHF)"	0
"M_asphispro_c"	"Aspartyl-Histidyl-Proline"	0
"M_m00595c"	"20-hydroxy-LTB5"	0
"M_m00592c"	"20-hydroxycholesterol"	49
"M_m02117c"	"hexadecenoylcarnitine(9)"	0
"M_2docohexecoa_m"	"2,7,10,13,16,19-Docosahexenoyl Coenzyme A"	0
"M_m01791c"	"estrone-2,3-quinone"	5
"M_3hexdtricoa_m"	"3,7,10-Hexadecatrienoyl Coenzyme A"	0
"M_m00460c"	"1-acylglycerol-3P-7,10,13,16-docosa"	0
"M_m02116c"	"hexadecenal"	0
"M_m00593c"	"20-hydroxy-D4-neuroprostane"	0
"M_m00590c"	"20-hydroxy-5S-HETE"	0
"M_m02115c"	"hexadecanoyl-[ACP]"	0
"M_octdececoa_c"	"Octadecenoyl Coenzyme A"	0
"M_m00818c"	"3-methoxy-4-hydroxyphenylacetaldehyde"	7
"M_m01049c"	"5,12-dihydroxy-(6E)-LTB5"	0
"M_m00817m"	"3-methoxy-4-hydroxy-5-all-trans-decaprenylbenzoate"	0
"M_hisasp_c"	"Histidyl-Aspartate"	0
"M_m00819c"	"3-methoxy-4-hydroxyphenylethyleneglycol"	0
"M_m02114p"	"hexadecanol"	0
"M_epoxtac_c"	"31-O-Desmethyl,19-Hydroxy,37, 39-Epoxy-tacrolimus"	0
"M_m02379c"	"L-gulono-1,4-lactone"	33
"M_m00815c"	"3-mercaptolactate"	11
"M_m00948p"	"4,8,12-trimethyltridecanoyl-CoA"	0
"M_m02378c"	"L-gulonate"	62
"M_m02112c"	"hexacosenoyl-CoA"	0
"M_4hexdtetcoa_m"	"4,7,10,13-Hexadecatetraenoyl Coenzyme A"	0
"M_2m3ovac_c"	"2-Methyl-3-Oxo-Valerate"	0
"M_m00816c"	"3-mercaptolactate-cysteine-disulfide"	8
"M_m00949c"	"4,8-dihydroxyquinoline"	0
"M_m01048c"	"5,12-DiHETE"	0
"M_m02377c"	"L-glutamyl-tRNA(glu)"	0
"M_m00813p"	"3-ketopristanoyl-CoA"	34
"M_glyc_S_c"	"(S)-Glycerate"	0
"M_m00946c"	"4,6-dideoxy-4-oxo-dTDP-D-glucose"	13
"M_m01178c"	"7alpha,12alpha-dihydroxycholest-4-en-3-one"	5
"M_alaasnleu_c"	"Alanyl-Asparaginyl-Leucine"	0
"M_m00814p"	"3-keto-THA-CoA"	0
"M_m02376c"	"L-glutaminyl-tRNA(gln)"	0
"M_m01179r"	"7alpha,25-dihydroxy-4-cholesten-3-one"	0
"M_m00947c"	"4,6-dihydroxyquinoline"	0
"M_m02110c"	"hexacosanoyl-CoA"	0
"M_thrtyrmet_c"	"Threonyl-Tyrosyl-Methionine"	0
"M_argserser_c"	"Arginyl-Seryl-Serine"	0
