"SPECIE","SPECIE_NAME"
"M_CE5840_c","2,3-Epoxy-Alpha-Tocopheryl Quinone"
"M_m02731c","phosphatidate-LD-PS pool"
"M_m02864c","S-(PGJ2)-glutathione"
"M_m01666c","deoxyadenosine"
"M_m01799c","etiocholan-3alpha-ol-17-one 3-glucuronide"
"M_m01533g","chondroitin sulfate C (GalNAc6S-GlcA) proteoglycan"
"M_m03096c","type III A glycolipid"
"M_3deccrn_c","3-Hydroxydecanoylcarnitine"
"M_gluthr_c","Glutamyl-Threonine"
"M_m00467c","1-acylglycerol-3P-9,12,15,18-tetraco"
"M_m02997c","thymine"
"M_m00201c","[protein]-L-glutamine"
"M_m00334c","12-oxoETE"
"M_prohistyr_c","Prolyl-Histidyl-Tyrosine"
"M_m02730c","phosphatidate-LD-PI pool"
"M_m03095g","type II H glycolipid"
"M_m02863c","S-(PGA2)-glutathione"
"M_m01798c","ethanolamine-phosphate"
"M_m01665c","dem2emgacpail_prot heparan sulfate"
"M_glygn5_s","Glycogen, Structure 5 (Glycogenin-2[1,4-Glc])"
"M_m01532g","chondroitin sulfate C (GalNAc6S-GlcA) and D (GlcNAc6S-GlcA2S), precursor 1"
"M_m01400c","biocytin"
"M_m00335c","12-peroxy-(5Z,8Z,10E,14Z)-eicosatetraenoate"
"M_m00468c","1-acylglycerol-3P-9-eicose"
"M_m00202c","[protein]-L-isoaspartate"
"M_m02996c","thymidine"
"M_glc1man_g","Glucose-1,3-Mannose Oligosaccharide"
"M_cyscys_c","Cystyl-Cysteine"
"M_m02862c","S-(PGA1)-glutathione"
"M_pe224_hs_c","1-Docosatetraenoyglycerophosphoethanolamine (22:4, Delta 7, 10, 13, 16)"
"M_m01797c","ethanolamine"
"M_m03094c","type II B antigen"
"M_m01531g","chondroitin sulfate B (IdoA2S-GalNAc4s), precursor 5"
"M_m00598c","20-OH-hepoxilin A3"
"M_m01664p","delta2-THA-CoA"
"M_m00465c","1-acylglycerol-3P-8,11-eico"
"M_m02995c","thromboxane B2"
"M_m00332c","12-oxo-20-trihydroxy-LTB4"
"M_m02861c","S-(formylmethyl)glutathione"
"M_m01796c","ethanol"
"M_m03093c","type II A antigen"
"M_m01530g","chondroitin sulfate B (IdoA2S-GalNAc4S), precursor 4"
"M_m01663p","delta1-piperideine-2-carboxylate"
"M_m00333c","12-oxo-c-LTB3"
"M_m00466c","1-acylglycerol-3P-9,12,15,18,21-tetra"
"M_m00599c","20-OH-LTB4"
"M_m00200c","[protein]-L-cysteine"
"M_m02994c","thromboxane A2"
"M_m02860c","S-(9-deoxy-delta9,12-PGD2)-glutathione"
"M_m03092g","type I H glycolipid"
"M_m00596p","20-hydroxy-LTE4"
"M_m01662c","delta-12-prostaglandin J2"
"M_m01795c","estrone-glucuronide"
"M_m00463c","1-acylglycerol-3P-7-tetrade"
"M_m02993c","threonine"
"M_m00330c","12-oxo-20-dihydroxy-LTB4"
"M_m03091c","type I B glycolipid"
"M_c14dccoa_p","Tetradecanedioyl Coenzyme A"
"M_m01794c","estrone-3,4-semiquinone"
"M_m01661c","dehydrospermidine"
"M_valtrpphe_c","Valyl-Tryptophanyl-Phenylalanine"
"M_m00597c","20-OH-10,11-dihydro-LTB4"
"M_glylyscys_c","Glycyl-Lysyl-Cysteine"
"M_m00331c","12-oxo-20-hydroxy-LTB4"
"M_m00464c","1-acylglycerol-3P-8,11,14,17-eico"
"M_m02992c","threonate"
"M_m03090c","type I A glycolipid"
"M_tmdm1_c","Torasemide-M1"
"M_m02119c","hexaglutamyl-folate(THF)"
"M_31dmt_c","31-DMT or M-II, 31-O-desmethyl tacrolimus"
"M_m01660c","dehydroepiandrosterone"
"M_m01793c","estrone-3,4-quinone"
"M_m00594c","20-hydroxy-E4-neuroprostane"
"M_m00461c","1-acylglycerol-3P-7-hexade"
"M_m02991c","thiosulfate"
"M_metasntyr_c","Methionyl-Asparaginyl-Tyrosine"
"M_m02990c","thioredoxin"
"M_m02118c","hexaglutamyl-folate(DHF)"
"M_m01792c","estrone-2,3-semiquinone"
"M_asphispro_c","Aspartyl-Histidyl-Proline"
"M_m00462c","1-acylglycerol-3P-7-octade"
"M_m00595c","20-hydroxy-LTB5"
"M_m00592c","20-hydroxycholesterol"
"M_m02117c","hexadecenoylcarnitine(9)"
"M_2docohexecoa_m","2,7,10,13,16,19-Docosahexenoyl Coenzyme A"
"M_3dhlchol_c","3-dehydro-Lithocholate"
"M_m01791c","estrone-2,3-quinone"
"M_3hexdtricoa_m","3,7,10-Hexadecatrienoyl Coenzyme A"
"M_m00460c","1-acylglycerol-3P-7,10,13,16-docosa"
"M_m02116c","hexadecenal"
"M_m01790c","estrone"
"M_m00593c","20-hydroxy-D4-neuroprostane"
"M_m02249l","keratan sulfate I, degradation product 20"
"M_m00590c","20-hydroxy-5S-HETE"
"M_CE5866_c","L-Alanyl-L-Leucine"
"M_m02115c","hexadecanoyl-[ACP]"
"M_octdececoa_c","Octadecenoyl Coenzyme A"
"M_m00818c","3-methoxy-4-hydroxyphenylacetaldehyde"
"M_m01049c","5,12-dihydroxy-(6E)-LTB5"
"M_m00817m","3-methoxy-4-hydroxy-5-all-trans-decaprenylbenzoate"
"M_m02248l","keratan sulfate I, degradation product 2"
"M_m00591c","20-hydroxy-arachidonate"
"M_hisasp_c","Histidyl-Aspartate"
"M_m00819c","3-methoxy-4-hydroxyphenylethyleneglycol"
"M_m02114p","hexadecanol"
"M_m02247l","keratan sulfate I, degradation product 19"
"M_m02113c","hexadecanal"
"M_epoxtac_c","31-O-Desmethyl,19-Hydroxy,37, 39-Epoxy-tacrolimus"
"M_m02379c","L-gulono-1,4-lactone"
"M_m00815c","3-mercaptolactate"
"M_m01047c","5,12,20-TriHETE"
"M_m02246l","keratan sulfate I, degradation product 18"
"M_m00948p","4,8,12-trimethyltridecanoyl-CoA"
"M_m02378c","L-gulonate"
"M_m02112c","hexacosenoyl-CoA"
"M_4hexdtetcoa_m","4,7,10,13-Hexadecatetraenoyl Coenzyme A"
"M_2m3ovac_c","2-Methyl-3-Oxo-Valerate"
"M_m00816c","3-mercaptolactate-cysteine-disulfide"
"M_m00949c","4,8-dihydroxyquinoline"
"M_m01048c","5,12-DiHETE"
"M_m02245l","keratan sulfate I, degradation product 17"
"M_m02377c","L-glutamyl-tRNA(glu)"
"M_m00813p","3-ketopristanoyl-CoA"
"M_m02111c","hexacosenoylcarnitine"
"M_glyc_S_c","(S)-Glycerate"
"M_3meacmp_c","3-methoxy-acetaminophen"
"M_m00946c","4,6-dideoxy-4-oxo-dTDP-D-glucose"
"M_m01045c","5,10-methylene-THF"
"M_m01178c","7alpha,12alpha-dihydroxycholest-4-en-3-one"
"M_alaasnleu_c","Alanyl-Asparaginyl-Leucine"
"M_m02244l","keratan sulfate I, degradation product 16"
"M_m00814p","3-keto-THA-CoA"
"M_m02376c","L-glutaminyl-tRNA(gln)"
"M_3thexddcoacrn_c","3-Hydroxy Trans7,10-Hexadecadienoyl Carnitine"
"M_m01179r","7alpha,25-dihydroxy-4-cholesten-3-one"
"M_m01046c","5,12,18R-TriHEPE"
"M_m00947c","4,6-dihydroxyquinoline"
"M_m02243l","keratan sulfate I, degradation product 15"
"M_tcdca3s_c","Taurochenodeoxycholic acid 3-sulfate"
"M_m02110c","hexacosanoyl-CoA"
"M_m02375c","L-glutaminyl-peptide"
"M_thrtyrmet_c","Threonyl-Tyrosyl-Methionine"
"M_argserser_c","Arginyl-Seryl-Serine"
"M_m01043c","5-(S-L-cysteinyl)-dopaquinone"
"M_m01176c","7,8-epoxy-(4Z,10Z)-hexadecadienoic acid"
"M_m00811c","3-keto-eicosa-8,11,14,17-all-cis-tetraenoyl-CoA"
"M_m02242l","keratan sulfate I, degradation product 14"
"M_m00944c","4,5-dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene"
"M_4mtob_c","4-Methyl-Thio-Oxo-Butyrate"
"M_m00812s","3-ketolactose"
"M_m01177c","7alpha,12alpha-dihydroxy-5beta-cholestan-3-one"
"M_m01044c","5,10-methenyl-THF"
"M_m02241l","keratan sulfate I, degradation product 13"
"M_m00945c","4,6,7-trihydroxy-1,2,3,4-tetrahydroisoquinoline"
"M_CE2615_c","2-Hydroxyamino-3,8-Dimethylimidazo[4,5-F]Quinoxaline"
"M_m02374c","L-glutamate 5-semialdehyde"
"M_leuproarg_c","Leucyl-Prolyl-Arginine"
"M_hislysval_c","Histidyl-Lysyl-Valine"
"M_m01041c","5(S)-HpEPE"
"M_m01174c","7,12-dimethylbenz[a]anthracene"
"M_m00942c","4,4-dimethyl-5alpha-cholesta-8,14-dien-3-beta-ol"
"M_m02240l","keratan sulfate I, degradation product 12"
"M_m02373c","L-fuculose"
"M_m00810s","3-keto-beta-D-galactose"
"M_m01042c","5(S)-HPETE"
"M_m01175c","7,8-dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene"
"M_cvm1gluc_r","cerivastatin-M1-glucuronide"
"M_m00943c","4,4-dimethyl-5alpha-cholesta-8-en-3-beta-ol"
"M_m02372c","L-fucose-1-phosphate"
"M_argglygly_c","Arginyl-Glycyl-Glycine"
"M_m01172c","6-trans-LTB4"
"M_hpdece_c","Trans-Delta-2-Heptadecanoic Acid"
"M_m00940c","4,4-dimethyl-14alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol"
"M_3hcinnm_c","3-Hydroxycinnamic Acid"
"M_m02371c","L-formylkynurenine"
"M_pcholn281_hs_c","Lysopc A C28:1 (Delta 5)"
"M_m01173c","7,12-dimethylbenz[a]anthracene 5,6-oxide"
"M_m01040c","5(S)-HETE"
"M_m02370c","leukotriene F4"
"M_m00941c","4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol"
"M_tetdecaeth_s","C14:0-Ethanolamide, Tetradecanoyl Ethanolamide"
"M_m01170c","6-pyruvoyltetrahydropterin"
"M_m02729c","phosphatidate-LD-PE pool"
"M_lca24g_c","Lithocholic acid-24glucuronide, CDCA-24G"
"M_pchollinl_hs_c","1-Linoleoylglycerophosphocholine (Delta 9,12)"
"M_CE5016_c","13,14-Dihydroxy-Retinol"
"M_lstnm4_c","Losartan-M4 (glucuronide derivative)"
"M_m01171c","6-trans-12-epi-LTB4"
"M_m02728c","phosphatidate-LD-PC pool"
"M_tlacfvs_c","trans-lactone-fluvastatin"
"M_m02727m","phosphatidate-CL pool"
"M_phetrpleu_c","Phenylalanyl-Tryptophanyl-Leucine"
"M_2hibupglu_S_c","2-hydroxy S-ibuprofen-glucuronide"
"M_acryl_c","Acrylate"
"M_m01529l","chondroitin sulfate B - dermatan sulfate (IdoA2S-GalNAc4S), free chain"
"M_m02726c","phosphatidate-bile-PC pool"
"M_m02859c","S-(9-deoxy-delta12-PGD2)-glutathione"
"M_m01528l","chondroitin sulfate B - dermatan sulfate (IdoA2S-GalNAc4S), degradation product 3"
"M_mettrpphe_c","Methionyl-Tryptophanyl-Phenylalanine"
"M_m02858m","S-(3-methylbutanoyl)-dihydrolipoamide"
"M_m02725c","phenylpyruvate"
